"","V1","session","num","rawTitles","real.title","dist","auth","tweet"
"1","￼Robert Truswell: DENDROPHOBIA IN BONOBO COMPREHENSION OF SPOKEN ENGLISH",1,87,"dendrophobia in bonobo comprehension of spoken english","Dendrophobia in bonobo comprehension of spoken english",0,"Truswell",""
"2","Rick Janssen, Bodo Winter, Dan Dediu, Scott Moisik and Sean Roberts: NONLINEAR BIASES IN ARTICULATION CONSTRAIN THE DESIGN SPACE OF LANGUAGE",1,86,"nonlinear biases in articulation constrain the design space of language","Nonlinear biases in articulation constrain the design space of language",0,"Janssen, Winter, Dediu, Moisik, Roberts",""
"3","Matthew Spike, Kenny Smith and Simon Kirby: MINIMAL PRESSURES LEADING TO DUALITY OF PATTERNING",1,129,"minimal pressures leading to duality of patterning","Minimal pressures leading to duality of patterning",0,"Spike, Smith, Kirby",""
"4","Klaas Seinhorst: MIND THE GAP: INDUCTIVE BIASES IN PHONOLOGICAL FEATURE LEARNING",1,155,"mind the gap inductive biases in phonological feature learning","Mind the gap: inductive biases in phonological feature learning",1,"Seinhorst",""
"5","￼Marieke Woensdregt, Simon Kirby, Kenny Smith and Chris Cummins: THE CULTURAL CO- EVOLUTION OF LANGUAGE AND MINDREADING",2,84,"the cultural co- evolution of language and mindreading","The cultural co-evolution of language and mindreading",1,"Woensdregt, Smith, Cummins, Kirby","Have language and mindreading co-evolved (through culture)? This agent-based model explores their interaction in development and evolution."
"6","Carlos Santana: SKEPTICISM TOWARDS SKEPTICISM TOWARDS COMPUTER SIMULATION IN EVOLUTIONARY LINGUISTICS",2,51,"skepticism towards skepticism towards computer simulation in evolutionary linguistics","Skepticism towards skepticism towards computer simulation in evolutionary linguistics",0,"Santana","How computer simulations are useful even if they don't provide evidence"
"7","Rose Stamp and Wendy Sandler: THE GRAMMAR OF THE BODY AND THE EMERGENCE OF COMPLEXITY IN SIGN LANGUAGES",2,81,"the grammar of the body and the emergence of complexity in sign languages","The grammar of the body and the emergence of complexity in sign languages",0,"Stamp, Sandler",""
"8","Dankmar Enke, Roland Mühlenbernd and Igor Yanovich: THE EMERGENCE OF THE PROGRESSIVE TO IMPERFECTIVE DIACHRONIC CYCLE IN REINFORCEMENT- LEARNING AGENTS",2,191,"the emergence of the progressive to imperfective diachronic cycle in reinforcement- learning agents","The emergence of the progressive to imperfective diachronic cycle in reinforcement-learning agents",1,"Enke, Mühlenbernd, Yanovich",""
"9","￼￼￼￼￼Kirsty Graham, Catherine Hobaiter and Richard Byrne: INTENTIONAL MEANING OF BONOBO GESTURES",3,22,"intentional meaning of bonobo gestures","Intentional meaning of bonobo gestures",0,"Graham, Hobaiter, Byrne","A bonobo-chimp dictionary: a look at the meanings of wild bonobo gestures, and how they differ from chimpanzees."
"10","Olga Vasileva: A CONTINUUM OF HUMAN COGNITIVE-LINGUISTIC EVOLUTION",3,68,"a continuum of human cognitive-linguistic evolution","A continuum of human cognitive-linguistic evolution",0,"Vasileva",""
"11","Terry Regier, Alexandra Carstensen and Charles Kemp: LANGUAGES SUPPORT EFFICIENT COMMUNICATION ABOUT THE ENVIRONMENT: WORDS FOR SNOW REVISITED",3,54,"languages support efficient communication about the environment words for snow revisited","Languages support efficient communication about the environment: words for snow revisited",1,"Regier, Carstensen, Kemp",""
"12","Ramon Ferrer-I-Cancho: KAUFFMAN'S ADJACENT POSSIBLE IN WORD ORDER EVOLUTION",3,83,"kauffman's adjacent possible in word order evolution","Kauffman's adjacent possible in word order evolution",0,"Ferrer-I-Cancho","A new model of the variation and evolution of word order beats the traditional dual two-way approach of standard typology."
"13","￼Zanna Clay, Jahmaira Archbold and Klaus Zuberbuhler: FUNCTIONALLY FLEXIBLE VOCALIZATIONS IN WILD BONOBOS (PAN PANSICUS",4,73,"functionally flexible vocalizations in wild bonobos (pan pansicus","Functionally flexible vocalizations in wild bonobos (pan pansicus)",1,"Clay, Archbold, Zuberbuhler",""
"14","Kevin Stadler, Elyse Jamieson, Kenny Smith and Simon Kirby: METALINGUISTIC AWARENESS OF TRENDS AS A DRIVING FORCE IN LINGUISTIC EVOLUTION: AN EMPIRICAL STUDY",4,145,"metalinguistic awareness of trends as a driving force in linguistic evolution an empirical study","Metalinguistic awareness of trends as a driving force in language change: an empirical study",15,"Stadler, Jamieson, Smith, Kirby","Metalinguistic awareness of trends as a driving force in linguistic evolution: is language change intentional, and not just incidental?"
"15","Emily Morgan and Roger Levy: FREQUENCY-DEPENDENT REGULARIZATION IN ITERATED LEARNING",4,193,"frequency-dependent regularization in iterated learning","Frequency-dependent regularization in iterated learning",0,"Morgan, Levy","Frequency-dependent regularization emerges from frequency-independent regularization plus cultural transmission."
"16","Wolfram Hinzen and Joana Rosselló: LANGUAGE ORIGINS IN LIGHT OF NEURO-ATYPICAL COGNITION AND SPEECH PROFILES",4,172,"language origins in light of neuro-atypical cognition and speech profiles","Language origins in light of neuro-atypical cognition and speech profiles",0,"Hinzen, Rosselló",""
"17","￼Katie Slocombe, Stuart Watson, Anne Schel, Claudia Wilke, Emma Wallace, Leveda Cheng, Victoria West and Simon Townsend: VOCAL LEARNING IN FUNCTIONALLY REFERENTIAL CHIMPANZEE FOOD CALLS",5,118,"vocal learning in functionally referential chimpanzee food calls","Vocal learning in functionally referential chimpanzee food calls",0,"Slocombe, Watson, Schel, Wilke, Wallace, Cheng, West, Townsend",""
"18","Eva Zehentner, Andreas Baumann, Nikolaus Ritt and Christina Prömer: A GAME THEORETIC ACCOUNT OF SEMANTIC SUBJECTIFICATION IN THE CULTURAL EVOLUTION OF LANGUAGES",5,110,"a game theoretic account of semantic subjectification in the cultural evolution of languages","A game theoretic account of semantic subjectification in the cultural evolution of languages",0,"Zehentner, Baumann, Ritt, Prömer",""
"19","Christian Bentz: THE LOW-COMPLEXITY- BELT: EVIDENCE FOR LARGE-SCALE LANGUAGE CONTACT IN HUMAN PRE- HISTORY?",5,93,"the low-complexity- belt evidence for large-scale language contact in human pre- history?","The low-complexity-belt: evidence for large-scale language contact in human prehistory?",4,"Bentz","Languages around the equator tend to have lower information-theoretic complexity."
"20","Yasamin Motamedi, Marieke Schouwstra, Kenny Smith and Simon Kirby: LINGUISTIC STRUCTURE EMERGES IN THE CULTURAL EVOLUTION OF ARTIFICIAL SIGN LANGUAGES",5,27,"linguistic structure emerges in the cultural evolution of artificial sign languages","Linguistic structure emerges in the cultural evolution of artificial sign languages",0,"Motamedi, Schouwstra, Smith, Kirby","iterated learning of silent gesture leads to language-like segmentation"
"21","￼￼￼￼￼￼￼Hannah Little, Kerem Eryilmaz and Bart de Boer: DIFFERING SIGNAL- MEANING DIMENSIONALITIES FACILITATES THE EMERGENCE OF STRUCTURE",6,4,"differing signal- meaning dimensionalities facilitates the emergence of structure","Differing signal-meaning dimensionalities facilitates the emergence of structure",1,"Little, Eryılmaz, de Boer","A signal space having fewer dimensions than a meaning space facilitates the emergence of structure in non-speech-like continuous signals."
